Question,Expected,Predicted
sample faq variation 103,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 104,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 105,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 106,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 107,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 108,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 109,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 110,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 111,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 112,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 113,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 114,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 115,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 116,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 117,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 118,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 119,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 120,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 121,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 122,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 123,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 124,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 125,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 126,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 127,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 128,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 129,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 130,Refer to the restaurant knowledge base for the requested information.,
